brand,categories,features.value,manufacturer,name
Maggi,"Assortments & Variety Gifts,Sympathy,Grocery & Gourmet Food,Food & Beverage Gifts","Salt,Cornstarch,Monosodium Glutamate,Sugar,Partially Hydrogenated Palm Oil,Garlic Powder,Onion Powder,and Less than 2 of Dehydrated Chicken**,Turmeric Spices,Chicken Fat**,Disodium Inosinate,Natural Flavor. **Adds Trivial Amounts of Cholesterol.",Nestle,"Maggi Chicken Flavor Bouillon, 3.5 Oz"
Polaner,"Baby Foods,Products,Food,Salad Dressings,Grocery","Water*,Orange Peel**,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Yellow #6*. *Not In Regular Preserves. **Adds A Trivial Amount of Sugar.","B&G Foods, Inc.","Polaner Sugar Free Orange Marmalade, 13.5 Oz"
Simply Asia,"Baby Products,Feeding,Baby Foods,Meals,Baby,Baby Food,grocery","Brown Sugar,Sea Salt,Garlic,Spices (Including Red Pepper),Sugar,Onion,Toasted Sesame Seed,Red Bell Pepper,Natural Flavor (Including Smoke),Green Onion,Silicon Dioxide And Calcium Stearate (to Make Free-Flowing),Caramel Color,And Soy Sauce (Wheat, Soybean, Salt),. Contains: Soy And Wheat.","Simply Asia Foods, LLC",Simply Asiaï¿½ï¿½ Sweet & Smoky Hibachi Seasoning 3.12 Oz. Bottle
Simply Organic,"Baby Products,Feeding,Baby Foods,Meals,Baby,Baby Food,Grocery","Organic Potato Starch,Organic Corn Syrup Solids,Organic Natural Flavors (Organic Turkey and Chicken Flavors,Sea Salt,Organic Gum Arabic),Organic Rice Flour,Sea Salt,Organic Carrot,Organic Onion,Silicon Dioxide,Malt Extract,Organic Sage,Organic",Simply Organic,Roasted Turkey Gravy
Simply Organic,"Baby Products,Feeding,Baby Foods,Meals,grocery,Grocery & Gourmet Food,Breakfast Foods,Cereals,Oatmeal,Baby,Baby Food","Sea Salt, Organic Garlic, Organic Onion, Organic Black Pepper, Organic Oregano, Organic Bay, Organic Turmeric.,Sea Salt,Organic Garlic,Organic Onion,Organic Black Pepper,Organic Oregano,Organic Bay,Organic Turmeric.",Frontier Natural Products CO-OP,Simply Organic Seasoning
KA-ME,"Baby Products,Feeding,Baby Foods,Snack Foods,Cookies,Food,Grocery","Water,Wheat Flour,Buckwheat Flour,Wheat Gluten,Salt,Lactic Acid.",Panos Brands LLC,Ka Me Noodle Strfry Soba-14. 2 Oz -pack of 6
Spice Islands,"Baby Products,Feeding,Baby Foods,Snack Foods,Cookies,Food,Grocery","Aromatic And Bitingly Pungent,Coriander Is An Ancient Seasoning Whose Culinary Roots Travel Deep Into Remote Times. We Grind Our Own Coriander Seed To Ensure Delightful Bouquet And Distinctive Flavor. Ground Coriander Is Traditional In South American,Indian,Mediterranean And African Cuisines,Particularly Curries,Meat,And Seafood Dishes. Add To Stews And Marinades For Authentic Mediterranean Flavor.",Spice Island,"Spice Islands: Ground Coriander Spice, 1.7 Oz"
Polaner,"Baby,Feeding,Baby Food Stages,Toddler Foods,Grocery","Water*,Blackberries+,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Red #40 And Blue #1*. *Not In Regular Preserves. +Adds A Trivial Amount of Sugar.","B&G Foods, Inc.","Polaner Blackberry Seedless Sugar Free Preserves With Fiber, 13.5 Oz"
Jelly Belly,"Baby,Feeding,Baby Food,Baby Food & Nutrition,Foods,Other Grocery,Food","Sugar,Corn Syrup,Modified Food Starch,Contains 2% or Less of the Following: Peach Puree Concentrate,Blueberry Puree,Strawberry Puree,Lemon Puree,Pear Juice Concentrate,Tangerine Juice Concentrate,Watermelon Juice Concentrate,Apple Juice Concentrate,Cherry Juice Concentrate,Pomegranate Juice Concentrate,Coconut,Citric Acid,Phosphoric Acid,Ascorbic Acid,Sodium Lactate,Sodium Citrate,Natural and Artificial Flavors,Color Added,Red 40 Lake,Blue 1 & 2 Lake,Yellow 5 & 6 Lake,Yellow 5 & 6,Red 40,Blue 1,Tapioca Dextrin,Beeswax,Carnauba Wax,Confectioner's Glaze,Salt,Caffeine.",JELLY BELLY CANDY COMPANY,Jelly Belly Jelly Bean
Manischewitz,"Baby,Feeding,Baby Food,Baby Products,Baby Foods,grocery","Water,Whitefish,Pike,Matzo Meal (Passover Wheat Flour and Water),Egg Whites,Onion,Salt,Carrageenan,Locust Bean Gum,Potassium Chloride,Dipotassium Phosphate,Pepper,Natural Flavorings.",MANISCHEWITZ,"Manischewitz Whitefish & Pike, Reduced Sodium, In Jelled Broth"
